Key;pl (Polish);en (English);fr (French);de (German);ru (Russian);es (Spanish)
ui_menu_new_game;Nowa Gra;New game;Nouveau jeu;Neues Spiel;????? ????;Nuevo juego
ui_menu_load_game;Wczytaj stan gry;Load game;Chargement du jeu;Spiel laden;????????? ????;Cargar juego
ui_menu_save_game;Zapisz stan gry;Save game;Sauvegarder la partie;Spiel speichern;????????? ????;Guardar partida
ui_menu_exit;WyjdŸ z gry;Quit game;Quitter le jeu;Spiel verlassen;????? ?? ????;Salir del juego
ui_menu_main_menu;WyjdŸ do menu;Exit to the menu;Quitter le menu;Gehe zum Menü;????? ? ????;Salir al menú
ui_menu_credits;Twórcy;Credits;Crédits;Credits;???????;Créditos
ui_menu_settings;Ustawienia;Settings;Reprendre;die Einstellungen;?????????;Configuraciones
ui_menu_resume;Wznów;Resume;Rreprendre;Fortsetzen;??????;Reanudar
ui_accept;PotwierdŸ;Confirm;Confirmer;Bestätigen;???????????;Confirmar
ui_cancel;Anuluj;Cancel;Annuler;Stornieren;????????;Cancelar
ui_select;Wybierz;Select;Sélectionner;Wählen;???????;Seleccione
ui_close;Zamknij;Close;Fermer;Schließen;???????;Cerca
